"fio/4k-seq-write-duration";"fio/4k-seq-write-latency";"fio/8k-rand-write-duration";"iperf/multi-thread-duration";"iperf/single-thread-duration";"sysbench/fileio-4k-rand-read-prepare-duration";"sysbench/fileio-4k-rand-write-throughput";"benchmark/order";"fio/4k-seq-write-bandwidth";"fio/4k-seq-write-disk-util";"fio/4k-seq-write-iops";"fio/4k-seq-write-latency-95-percentile";"fio/8k-rand-write-bandwidth";"fio/8k-rand-write-disk-util";"fio/8k-rand-write-iops";"fio/8k-rand-write-latency";"fio/8k-rand-write-latency-95-percentile";"fio/version";"instance/cpu-cores";"instance/cpu-model";"instance/gcc-version";"instance/ram-total";"iperf/multi-thread-bandwidth";"iperf/single-thread-bandwidth";"iperf/version";"iteration";"md-sim-duration";"provider_vm_id";"provider_vm_id_iteration";"source";"stressng/cpu-callfunc-bogo-ops";"stressng/cpu-callfunc-duration";"stressng/cpu-double-bogo-ops";"stressng/cpu-double-duration";"stressng/cpu-euler-bogo-ops";"stressng/cpu-euler-duration";"stressng/cpu-fft-bogo-ops";"stressng/cpu-fft-duration";"stressng/cpu-fibonacci-bogo-ops";"stressng/cpu-fibonacci-duration";"stressng/cpu-int64-bogo-ops";"stressng/cpu-int64-duration";"stressng/cpu-loop-bogo-ops";"stressng/cpu-loop-duration";"stressng/cpu-matrixprod-bogo-ops";"stressng/cpu-matrixprod-duration";"stressng/network-epoll-bogo-ops";"stressng/network-icmp-flood-bogo-ops";"stressng/network-sockfd-bogo-ops";"stressng/network-total-duration";"stressng/network-udp-bogo-ops";"stressng/version";"sysbench/cpu-multi-thread-duration";"sysbench/cpu-single-thread-duration";"sysbench/fileio-1m-seq-write-duration";"sysbench/fileio-1m-seq-write-latency";"sysbench/fileio-1m-seq-write-latency-95-percentile";"sysbench/fileio-1m-seq-write-throughput";"sysbench/fileio-4k-rand-read-duration";"sysbench/fileio-4k-rand-read-latency";"sysbench/fileio-4k-rand-read-latency-95-percentile";"sysbench/fileio-4k-rand-read-throughput";"sysbench/fileio-4k-rand-write-duration";"sysbench/fileio-4k-rand-write-latency";"sysbench/fileio-4k-rand-write-latency-95-percentile";"sysbench/fileio-file-total-size";"sysbench/memory-default-block-size-duration";"sysbench/memory-default-block-size-throughput";"sysbench/memory-large-block-size-duration";"sysbench/memory-large-block-size-throughput";"sysbench/mutex-duration";"sysbench/mutex-latency";"sysbench/threads-128-duration";"sysbench/threads-128-latency";"sysbench/threads-1-duration";"sysbench/threads-1-latency";"sysbench/version";"wordpress-bench/s1-failure_rate";"wordpress-bench/s1-num_failures";"wordpress-bench/s1-response_time";"wordpress-bench/s1-throughput";"wordpress-bench/s2-failure_rate";"wordpress-bench/s2-num_failures";"wordpress-bench/s2-response_time";"wordpress-bench/s2-throughput";"wordpress-bench/s3-failure_rate";"wordpress-bench/s3-num_failures";"wordpress-bench/s3-response_time";"wordpress-bench/s3-throughput"
199502.0;699.73;60001.0;30.0;30.0;228.15333333333334;"2.1294";"[Fio, StressngCpu, StressngCpu, SysbenchThreads, SysbenchFileio, WordpressBench, SysbenchThreads, SysbenchThreads, WordpressBench, SysbenchCpu, Iperf, SysbenchCpu, StressngCpu, SysbenchFileio, SysbenchFileio, SysbenchMemory, SysbenchCpu, SysbenchMutex, SysbenchMutex, Fio, SysbenchMemory, MdSim, SysbenchMemory, Iperf, SysbenchMutex, MdSim, StressngNetwork, WordpressBench, Fio, MdSim, StressngNetwork, Iperf, StressngNetwork]";5694.1;99.36;1423.0;756.0;140894.0;97.75;17611.0;55.5;330.0;"fio-2.1.10";1.0;"Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz";"gcc (Ubuntu 4.8.4-2ubuntu1~14.04.3) 4.8.4";3854808.0;287.0;316.0;"iperf version 2.0.5 (08 Jul 2010) pthreads";1.0;485.292715;"i-003143c8dfcbf35db";"i-003143c8dfcbf35db_1.0";"rmit-combined_v3_aws_m3.medium";163574.57;10.0;5130.49;10.01;4074023.44;10.01;214.09;10.0;6677479.32;10.0;28632.75;10.0;12159.37;10.0;91.82;10.01;27398.35;169975.44;37.2;40.02;79459.44;"stress-ng, version 0.07.27";58.8944;58.8938;228.3928;25.75;32.03;35.868;2.8246;0.28;0.57;13.829;18.3446;0.01;0.01;8.0;1.3285;770.8;2.169;4721.1;4.4517;4451.57;10.575;134.92;4.7267;0.47;"sysbench 0.4.12";9.119859670895272;3.0;1372.350563204005;0.7286767877045321;1.1924168844442213;4.0;1822.7187024559878;0.5486310085327861;2.670517551171662;987.0;2844.7604679802957;0.3515234450336599
199502.0;700.36;60001.0;30.0;30.0;228.15333333333334;"2.1997";;5689.4;99.35;1422.0;772.0;140679.0;97.63;17584.0;55.56;334.0;;;;;;287.0;316.0;;2.0;485.392079;"i-003143c8dfcbf35db";"i-003143c8dfcbf35db_2.0";"rmit-combined_v3_aws_m3.medium";163207.18;10.01;5170.01;10.0;4076041.99;10.0;215.01;10.01;6670043.05;10.01;28652.83;10.0;12180.67;10.0;90.67;10.0;27335.01;170076.72;38.15;40.03;79350.74;;58.8911;58.9517;228.3972;25.74;32.03;35.867;2.494;0.25;0.56;15.662;17.7585;0.01;0.01;8.0;1.3221;774.55;2.1639;4732.15;4.454;4453.82;10.4943;133.77;4.73;0.47;;2.984201369372419;1.0;1413.021421041535;0.7077033547466692;1.8003228338905732;6.0;1794.1083118001723;0.5573799493725214;6.902096103190831;2319.0;1706.2865776242954;0.5860680222851689
199502.0;721.24;60001.0;30.0;30.0;228.15333333333334;"2.1125";;5525.8;99.29;1381.0;868.0;141885.0;97.15;17735.0;55.0;322.0;;;;;;288.0;316.0;;3.0;489.510403;"i-003143c8dfcbf35db";"i-003143c8dfcbf35db_3.0";"rmit-combined_v3_aws_m3.medium";163393.04;10.0;5109.8;10.0;4076298.64;10.0;215.17;10.0;6667330.57;10.0;28661.52;10.0;12180.81;10.0;93.78;10.0;27258.77;169662.62;35.64;40.02;77035.86;;58.9067;58.9492;228.4188;25.74;32.03;35.864;2.554;0.26;0.56;15.295;18.4909;0.01;0.01;8.0;1.3391;764.7;2.1631;4734.03;4.4545;4454.4;10.8505;138.57;4.7268;0.47;;1.4908243340219351;5.0;1390.3118185963604;0.7192631081922228;8.821525368766226;3.0;1809.7878771752435;0.5525509440149537;8.143600936398352;2603.0;1501.6323874847317;0.6659419497970623
199502.0;682.59;60001.0;30.0;30.0;228.15333333333334;"2.1741";"[StressngNetwork, StressngCpu, Fio, SysbenchMemory, MdSim, MdSim, Fio, SysbenchFileio, StressngCpu, WordpressBench, Iperf, SysbenchMutex, SysbenchThreads, StressngCpu, SysbenchThreads, MdSim, Fio, SysbenchCpu, WordpressBench, WordpressBench, StressngNetwork, Iperf, SysbenchMutex, SysbenchMutex, SysbenchCpu, SysbenchFileio, SysbenchCpu, SysbenchMemory, SysbenchMemory, SysbenchThreads, SysbenchFileio, StressngNetwork, Iperf]";5835.2;99.15;1458.0;724.0;140414.0;97.63;17551.0;55.64;334.0;"fio-2.1.10";1.0;"Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz";"gcc (Ubuntu 4.8.4-2ubuntu1~14.04.3) 4.8.4";3854808.0;288.0;316.0;"iperf version 2.0.5 (08 Jul 2010) pthreads";1.0;486.796984;"i-0050e0bfe4b4e5bfd";"i-0050e0bfe4b4e5bfd_1.0";"rmit-combined_v3_aws_m3.medium";163137.22;10.01;5154.75;10.01;4061571.97;10.0;213.63;10.01;6655315.57;10.01;28580.14;10.0;12091.38;10.0;91.79;10.0;26019.21;163006.65;36.45;40.03;72016.52;"stress-ng, version 0.07.27";59.5473;59.4651;228.3763;25.75;32.03;35.871;2.299;0.23;0.51;16.991;17.9671;0.01;0.01;8.0;1.3227;774.15;2.1752;4707.65;4.4715;4471.33;11.3889;144.65;4.7973;0.48;"sysbench 0.4.12";6.085244848193679;2.0;1368.235502268848;0.7308683324923018;8.874503515900804;3.0;1794.876712328767;0.5571413307282524;2.7755702448719095;1050.0;2799.3239603374277;0.3572291075161808
199502.0;669.55;60001.0;30.0;30.0;228.15333333333334;"2.152";;5948.3;99.25;1487.0;692.0;141207.0;97.45;17650.0;55.3;330.0;;;;;;288.0;316.0;;2.0;486.490747;"i-0050e0bfe4b4e5bfd";"i-0050e0bfe4b4e5bfd_2.0";"rmit-combined_v3_aws_m3.medium";163720.59;10.0;5145.35;10.01;4062475.7;10.01;214.17;10.0;6655656.34;10.01;28582.55;10.01;12077.27;10.0;91.81;10.01;26989.6;161266.17;35.68;40.05;74141.24;;59.1022;59.1078;228.4071;25.74;32.02;35.866;2.3602;0.24;0.52;16.551;18.152;0.01;0.01;8.0;1.3214;774.92;2.1954;4664.37;4.4617;4461.57;10.3121;131.5;4.8032;0.48;;5.983955041827696;2.0;1409.3489774404386;0.709547469084719;1.2116797200922913;4.0;1810.6638876700308;0.5522836164180663;7.189367739060463;2429.0;1664.3351231527095;0.6008405315064941
199502.0;687.97;60001.0;30.0;30.0;228.15333333333334;"2.174";;5789.9;98.88;1447.0;724.0;140354.0;97.04;17544.0;55.64;334.0;;;;;;288.0;316.0;;3.0;489.732529;"i-0050e0bfe4b4e5bfd";"i-0050e0bfe4b4e5bfd_3.0";"rmit-combined_v3_aws_m3.medium";162154.0;10.0;5115.81;10.01;4038096.4;10.0;213.45;10.01;6628089.42;10.0;28410.59;10.0;12020.11;10.0;90.77;10.0;25380.1;162649.77;36.43;40.03;75160.07;;59.1647;59.2034;228.4072;25.73;32.04;35.866;2.3872;0.24;0.52;16.364;17.9684;0.01;0.01;8.0;1.3184;776.71;2.1824;4692.05;4.4627;4462.61;11.3492;144.47;4.8135;0.48;;6.001696139345941;2.0;1390.234167709637;0.7193032823006109;2.426609839508575;8.0;1821.1238468762083;0.5491114740577967;9.438814658129331;2833.0;1320.125;0.7575040242401287
199502.0;778.34;60001.0;30.0;30.0;228.15333333333334;"2.1137";"[Iperf, StressngCpu, StressngCpu, Iperf, SysbenchThreads, SysbenchThreads, MdSim, MdSim, StressngNetwork, SysbenchMutex, WordpressBench, SysbenchFileio, StressngNetwork, Iperf, SysbenchMutex, SysbenchMemory, Fio, SysbenchMemory, Fio, MdSim, StressngCpu, SysbenchFileio, SysbenchCpu, SysbenchCpu, SysbenchMemory, StressngNetwork, WordpressBench, SysbenchMutex, SysbenchFileio, WordpressBench, SysbenchThreads, Fio, SysbenchCpu]";5121.6;99.32;1280.0;852.0;141130.0;97.67;17641.0;55.4;326.0;"fio-2.1.10";1.0;"Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz";"gcc (Ubuntu 4.8.4-2ubuntu1~14.04.3) 4.8.4";3854808.0;288.0;316.0;"iperf version 2.0.5 (08 Jul 2010) pthreads";1.0;486.219595;"i-0064da9b6df0a3d9b";"i-0064da9b6df0a3d9b_1.0";"rmit-combined_v3_aws_m3.medium";163016.34;10.01;5152.05;10.0;4062718.36;10.0;213.88;10.0;6647038.53;10.0;28585.43;10.0;12138.26;10.0;91.19;10.01;27305.74;170287.74;39.08;40.01;78742.54;"stress-ng, version 0.07.27";59.052;59.0198;228.3702;25.74;32.04;35.872;2.9106;0.29;0.56;13.421;18.4809;0.01;0.01;8.0;1.3212;775.04;2.1754;4707.21;4.4617;4461.55;10.4264;132.72;4.7476;0.47;"sysbench 0.4.12";0.0;0.0;1328.718886728245;0.75260464044606;5.924569155703573;2.0;1776.1616857834367;0.5630118068665105;2.4644977903443817;903.0;2917.920283507207;0.3427098422298383
199502.0;767.5;60001.0;30.0;30.0;228.15333333333334;"2.1272";;5194.2;99.41;1298.0;820.0;140908.0;97.7;17613.0;55.48;330.0;;;;;;288.0;316.0;;2.0;489.897007;"i-0064da9b6df0a3d9b";"i-0064da9b6df0a3d9b_2.0";"rmit-combined_v3_aws_m3.medium";162889.46;10.01;5099.12;10.01;4068474.2;10.0;214.47;10.0;6651353.28;10.0;28578.91;10.01;12159.23;10.0;93.69;10.0;28054.15;168470.1;38.28;40.13;78479.17;;59.0705;59.0626;228.3688;25.74;32.04;35.872;3.4377;0.34;0.62;11.363;18.363;0.01;0.01;8.0;1.3292;770.4;2.1697;4719.6;4.4535;4453.35;10.7417;137.14;4.7569;0.48;;0.0;0.0;1346.61955851523;0.7426002345477519;5.873761873405806;2.0;1775.4577641047033;0.5632350260408827;6.431154621562133;2196.0;1808.6910853329096;0.5528860113864822
199502.0;750.89;60001.0;30.0;30.0;228.15333333333334;"2.1305";;5308.8;99.36;1327.0;796.0;140378.0;97.69;17547.0;55.72;334.0;;;;;;288.0;316.0;;3.0;485.408073;"i-0064da9b6df0a3d9b";"i-0064da9b6df0a3d9b_3.0";"rmit-combined_v3_aws_m3.medium";163618.47;10.0;5154.81;10.0;4066213.99;10.0;213.8;10.01;6654873.98;10.0;28613.2;10.01;12155.61;10.01;90.26;10.01;26625.4;168512.3;38.31;40.03;79097.0;;59.014;59.0076;228.3839;25.74;32.04;35.869;2.9434;0.29;0.56;13.271;18.335;0.01;0.01;8.0;1.322;774.58;2.1738;4710.73;4.4613;4461.17;10.7602;136.84;4.7394;0.47;;3.027621658466959;1.0;1357.7188309285978;0.736529520855257;1.4687144580280622;5.0;1767.201879152824;0.5658663063890518;8.637674791101158;2730.0;1430.2528735632184;0.6991770605631992
199502.0;678.98;60001.0;30.0;30.0;228.15333333333334;"2.1025";"[SysbenchThreads, SysbenchMutex, SysbenchThreads, SysbenchCpu, SysbenchThreads, SysbenchMemory, SysbenchCpu, SysbenchMutex, StressngCpu, MdSim, SysbenchFileio, WordpressBench, SysbenchMemory, Fio, Fio, SysbenchFileio, SysbenchCpu, StressngNetwork, MdSim, WordpressBench, Iperf, StressngNetwork, StressngCpu, StressngNetwork, SysbenchMemory, Iperf, SysbenchMutex, Iperf, WordpressBench, Fio, StressngCpu, MdSim, SysbenchFileio]";5867.9;99.31;1466.0;812.0;141000.0;97.63;17624.0;55.41;326.0;"fio-2.1.10";1.0;"Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz";"gcc (Ubuntu 4.8.4-2ubuntu1~14.04.3) 4.8.4";3854808.0;288.0;316.0;"iperf version 2.0.5 (08 Jul 2010) pthreads";1.0;485.538041;"i-00e86f47239628cb7";"i-00e86f47239628cb7_1.0";"rmit-combined_v3_aws_m3.medium";163699.79;10.0;5142.2;10.0;4060327.13;10.0;214.68;10.01;6654451.67;10.01;28612.23;10.01;12152.33;10.0;97.35;10.01;27251.02;170249.49;36.99;40.01;76866.9;"stress-ng, version 0.07.27";58.9266;58.9514;228.3566;25.75;32.04;35.874;3.2973;0.33;0.61;11.847;18.579;0.01;0.01;8.0;1.3229;774.04;2.1507;4761.21;4.4572;4457.09;11.1555;142.11;4.7443;0.47;"sysbench 0.4.12";6.060135940969428;2.0;1362.3347781217751;0.734033965849922;2.8908750742448994;1.0;1791.6611591650696;0.5581412505844627;2.693850210157768;1007.0;2820.602127820116;0.3545342287509523
