"provider_vm_id";"source";"fio/4k-seq-write-bandwidth";"fio/4k-seq-write-latency";"fio/4k-seq-write-latency-95-percentile";"fio/8k-rand-read-iops";"fio/8k-rand-read-latency";"fio/8k-rand-read-latency-95-percentile";"iperf/multi-thread-bandwidth";"iperf/single-thread-bandwidth";"md-sim-duration";"stressng/cpu-callfunc-bogo-ops";"stressng/cpu-double-bogo-ops";"stressng/cpu-euler-bogo-ops";"stressng/cpu-fft-bogo-ops";"stressng/cpu-fibonacci-bogo-ops";"stressng/cpu-int64-bogo-ops";"stressng/cpu-loop-bogo-ops";"stressng/cpu-matrixprod-bogo-ops";"stressng/network-epoll-bogo-ops";"stressng/network-icmp-flood-bogo-ops";"stressng/network-sockfd-bogo-ops";"stressng/network-udp-bogo-ops";"sysbench/cpu-multi-thread-duration";"sysbench/cpu-single-thread-duration";"sysbench/fileio-1m-seq-write-latency";"sysbench/fileio-1m-seq-write-latency-95-percentile";"sysbench/fileio-1m-seq-write-throughput";"sysbench/fileio-4k-rand-read-latency";"sysbench/fileio-4k-rand-read-latency-95-percentile";"sysbench/fileio-4k-rand-read-throughput";"sysbench/fileio-4k-rand-write-latency";"sysbench/fileio-4k-rand-write-latency-95-percentile";"sysbench/fileio-4k-rand-write-throughput";"sysbench/memory-default-block-size-throughput";"sysbench/memory-large-block-size-throughput";"sysbench/mutex-latency";"sysbench/threads-128-latency";"sysbench/threads-1-latency";"wordpress-bench/s1-response_time";"wordpress-bench/s1-throughput";"wordpress-bench/s2-response_time";"wordpress-bench/s2-throughput";"wordpress-bench/s3-response_time";"wordpress-bench/s3-throughput"
"i-0003cc76385bc9d7a";"rmit-combined_v3_aws_m3.large";5968.966666666667;667.4866666666667;750.6666666666666;17651.0;55.39333333333334;332.6666666666667;672.0;670.6666666666666;161.773821;331948.4033333333;10443.916666666666;8253855.150000001;434.72333333333336;1.3502477003333336E7;58021.619999999995;24612.599999999995;198.93333333333337;88406.12666666666;332923.12333333335;51.76333333333333;276840.3266666667;29.08056666666667;29.079133333333335;11.103333333333333;15.823333333333332;82.688;0.29000000000000004;0.5666666666666668;13.482999999999999;0.01;0.01;2.204;1505.92;9586.516666666668;2198.6200000000003;76.35666666666667;0.26;435.34940957409316;2.2972020692824473;569.5169559323274;1.7559017824117016;1215.8715024649214;0.9402176581390377
"i-00215a60a31ddad7c";"rmit-combined_v3_aws-us_m3.medium";5728.933333333333;695.5500000000001;814.6666666666666;17654.0;55.370000000000005;327.3333333333333;290.0;316.0;489.122081;163263.56999999998;5137.463333333334;4054085.2300000004;213.87;6635392.8;28508.89;12099.160000000002;91.89666666666666;27290.17;171107.76;37.443333333333335;77874.30333333334;59.17433333333333;59.16116666666667;25.753333333333334;33.29333333333333;35.873999999999995;0.35666666666666663;0.6833333333333332;10.974666666666666;0.01;0.01;2.2258333333333336;774.0366666666667;4722.25;4464.313333333333;133.23333333333335;0.48;1377.8056157947;0.7258295105699087;1800.5440666308348;0.5554130293195342;1992.9140182867616;0.5334500606876036
"i-0025b397a0739f422";"rmit-combined_v3_aws-eu_m1.small";5135.466666666667;774.86;905.3333333333334;13145.333333333334;70.46;411.3333333333333;180.0;278.6666666666667;844.9305856666666;97327.92;2924.286666666667;1915918.28;119.52;2818512.643333333;17470.306666666667;7553.2266666666665;56.47666666666667;6654.07;54734.86666666667;5.896666666666667;16965.45;96.22873333333332;96.36143333333332;25.666666666666668;35.71333333333334;36.278666666666666;0.26666666666666666;0.42333333333333334;14.489333333333333;0.02;0.02;1.4618666666666666;107.62;2754.9600000000005;7270.016666666667;1191.4766666666667;3.6199999999999997;2614.4090420559064;0.38250537854839023;3274.2547069319603;0.30543002473708925;3325.991460435205;0.30815886750406896
"i-00280e5ce2840972f";"rmit-combined_v3_aws-us_m1.small";5239.933333333333;761.3366666666666;868.0;11098.0;86.77;406.0;245.0;312.3333333333333;844.376878;96611.30666666666;2884.5266666666666;1902251.82;118.71;2806549.82;17246.233333333334;7513.5;56.093333333333334;7025.94;53311.07666666666;5.68;16031.416666666666;96.4892;96.3017;25.653333333333336;35.68;36.274;0.24;0.4066666666666667;16.064333333333334;0.02;0.02;1.3550333333333333;107.30666666666667;2760.4133333333334;7278.739999999999;1259.87;3.8533333333333335;2603.0825416432767;0.3841835531587994;3279.1891513615406;0.3050507204328287;3311.560855465697;0.3090626766871239
"i-003143c8dfcbf35db";"rmit-combined_v3_aws_m3.medium";5636.433333333333;707.11;798.6666666666666;17643.333333333332;55.35333333333333;328.6666666666667;287.3333333333333;316.0;486.73173233333335;163391.59666666668;5136.766666666666;4075454.69;214.75666666666666;6671617.646666667;28649.033333333336;12173.616666666667;92.08999999999999;27330.710000000003;169904.92666666667;36.99666666666666;78615.34666666666;58.897400000000005;58.93156666666667;25.74333333333333;32.03;35.86633333333333;0.26333333333333336;0.5633333333333334;14.928666666666667;0.01;0.01;2.1472;770.0166666666668;4729.093333333333;4453.263333333333;135.75333333333333;0.47;1391.8946009473002;0.7185477502144747;1808.8716304771344;0.5528539673067537;2017.5598110297742;0.5345111390386305
"i-004e7665dfaac743b";"rmit-combined_v3_aws_m3.large";4728.0;843.38;985.3333333333334;13930.666666666666;70.49666666666667;394.0;642.0;676.3333333333334;162.44003166666667;332852.61333333334;10424.053333333331;8230737.806666668;434.56666666666666;1.3467442623333335E7;57873.18;24580.76;198.53;78511.53666666667;330841.3066666667;51.75333333333333;280961.80333333334;29.154366666666665;29.154700000000002;11.11;19.493333333333332;82.69466666666666;0.41;0.8366666666666666;9.5674;0.01;0.01;1.7998;1507.28;9561.563333333334;2204.4833333333336;76.95333333333333;0.26333333333333336;429.6174975738595;2.3281197204695556;563.7733314291721;1.7740333196761238;1297.396311662503;0.8758590181207818
"i-0050e0bfe4b4e5bfd";"rmit-combined_v3_aws_m3.medium";5857.8;680.0366666666666;713.3333333333334;17581.666666666668;55.526666666666664;332.6666666666667;288.0;316.0;487.67342;163003.93666666668;5138.636666666666;4054048.0233333334;213.75;6646353.776666666;28524.426666666666;12062.92;91.45666666666666;26129.63666666667;162307.53;36.18666666666667;73772.61;59.2714;59.258766666666666;25.74;32.03;35.867666666666665;0.23666666666666666;0.5166666666666667;16.635333333333335;0.01;0.01;2.1667;775.2599999999999;4688.0233333333335;4465.169999999999;140.20666666666668;0.48;1389.2728824729747;0.7199063612925439;1808.8881489583355;0.5528454737347052;1927.9280278300457;0.5718578877542678
"i-0054e141cff8caf0f";"rmit-combined_v3_aws-us_m1.small";5353.166666666667;743.2433333333333;902.6666666666666;12981.0;71.88333333333334;392.6666666666667;201.0;304.3333333333333;845.284434;97420.99333333333;2914.343333333333;1914109.9666666668;120.02666666666669;2816589.8699999996;17504.833333333332;7560.296666666666;56.61333333333334;7254.029999999999;61100.630000000005;6.59;16975.68;96.34776666666666;96.10556666666666;25.649999999999995;35.70333333333333;36.292;0.28;0.5;14.308666666666667;0.02;0.02;1.3772666666666666;120.88;2755.59;7259.346666666667;980.4266666666666;3.11;2519.057733451891;0.39707357891413103;3162.4608118913607;0.3162688615933497;3303.0039932584637;0.3117576965586067
"i-005566108a7ef704a";"rmit-combined_v3_aws_m3.large";5648.733333333334;705.7433333333333;836.0;17716.0;55.199999999999996;326.0;672.3333333333334;666.0;162.2270993333333;332790.29000000004;10453.276666666667;8247114.206666667;433.81;1.3497101423333334E7;57981.283333333326;24630.963333333333;200.5;77476.65999999999;331660.2633333333;50.79666666666666;280036.14666666667;29.1003;29.0997;11.11;15.83;82.68633333333334;0.32666666666666666;0.6133333333333333;11.914;0.01;0.01;2.0983;1509.6266666666668;9584.39;2200.463333333333;76.34333333333335;0.26;423.8092006520442;2.3597191419338635;556.9301094465974;1.795716711329413;1268.2602563172006;0.8955159267656715
"i-0064da9b6df0a3d9b";"rmit-combined_v3_aws_m3.medium";5208.2;765.5766666666667;822.6666666666666;17600.333333333332;55.53333333333333;330.0;288.0;316.0;487.1748916666667;163174.75666666668;5135.326666666667;4065802.1833333336;214.05000000000004;6651088.596666667;28592.513333333332;12151.033333333333;91.71333333333332;27328.430000000004;169090.04666666666;38.556666666666665;78772.90333333334;59.045500000000004;59.03;25.74;32.04;35.871;0.30666666666666664;0.5800000000000001;12.685;0.01;0.01;2.1237999999999997;773.34;4712.513333333333;4458.6900000000005;135.5666666666667;0.47333333333333333;1344.3524253906908;0.743911465283023;1772.9404430136547;0.564037713098815;2052.288080801112;0.5315909713931731
"i-007b19d19731db31b";"rmit-combined_v3_aws-us_m1.small";5373.966666666667;740.3633333333333;910.6666666666666;13228.666666666666;70.10666666666667;391.3333333333333;267.3333333333333;315.0;843.5408113333333;97273.96333333333;2911.866666666667;1915866.5199999998;120.21333333333332;2808492.6733333333;17521.326666666668;7585.016666666667;57.45666666666667;6835.393333333333;52763.68333333333;5.833333333333333;15869.12;96.28606666666667;96.2076;25.67;35.68;36.272;0.2866666666666667;0.6066666666666666;14.012333333333332;0.02;0.02;1.5523666666666667;103.37333333333333;2748.4133333333334;7275.990000000001;1264.1299999999999;3.8066666666666666;2565.4726085095613;0.3898018027541277;3162.4546528040323;0.31626532696471776;3397.091499129963;0.2988610466649576
