"fio/4k-seq-write-bandwidth";"fio/4k-seq-write-disk-util";"fio/4k-seq-write-latency";"fio/4k-seq-write-latency-95-percentile";"fio/8k-rand-read-disk-util";"fio/8k-rand-read-iops";"fio/8k-rand-read-latency";"fio/8k-rand-read-latency-95-percentile";"iperf/multi-thread-bandwidth";"iperf/single-thread-bandwidth";"md-sim-duration";"stressng/cpu-callfunc-bogo-ops";"stressng/cpu-double-bogo-ops";"stressng/cpu-euler-bogo-ops";"stressng/cpu-fft-bogo-ops";"stressng/cpu-fibonacci-bogo-ops";"stressng/cpu-int64-bogo-ops";"stressng/cpu-loop-bogo-ops";"stressng/cpu-matrixprod-bogo-ops";"stressng/network-epoll-bogo-ops";"stressng/network-icmp-flood-bogo-ops";"stressng/network-sockfd-bogo-ops";"stressng/network-udp-bogo-ops";"sysbench/cpu-multi-thread-duration";"sysbench/cpu-single-thread-duration";"sysbench/fileio-1m-seq-write-latency";"sysbench/fileio-1m-seq-write-latency-95-percentile";"sysbench/fileio-1m-seq-write-throughput";"sysbench/fileio-4k-rand-read-latency";"sysbench/fileio-4k-rand-read-latency-95-percentile";"sysbench/fileio-4k-rand-read-throughput";"sysbench/fileio-4k-rand-write-latency";"sysbench/fileio-4k-rand-write-latency-95-percentile";"sysbench/fileio-4k-rand-write-throughput";"sysbench/memory-default-block-size-throughput";"sysbench/memory-large-block-size-throughput";"sysbench/mutex-latency";"sysbench/threads-128-latency";"sysbench/threads-1-latency";"wordpress-bench/s1-throughput";"wordpress-bench/s2-response_time";"wordpress-bench/s2-throughput";"wordpress-bench/s3-response_time";"wordpress-bench/s3-throughput";"vcpus";"ecu";"role";"provider_vm_id_iteration";"provider_vm_id";"iteration";"source";"instance.type";"region";"wordpress-bench/s1-response_time"
5122.8;98.86;706.23;772.0;91.38;9917.0;95.4;402.0;228.0;311.0;840.608082;97475.12;2907.61;1920428.0;120.27;2826938.81;17587.15;7600.66;55.37;7310.48;60694.53;6.56;17439.91;96.8605;96.2373;26.11;36.2;35.889;0.24;0.46;16.033;0.02;0.02;1.1263;122.03;2768.27;7278.73;1007.38;3.09;0.38044436496552675;3276.0058051489145;0.30524976434055606;3859.3577586206898;0.2591104692915004;1.0;1.0;"training";"i-04544189819b35dee_1.0";"i-04544189819b35dee";1.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu";2628.5052220200796
5675.1;98.68;700.62;740.0;91.67;9189.0;103.39;406.0;260.0;313.0;841.088964;96671.71;2938.92;1918107.0;121.39;2816179.6;17613.96;7586.28;58.19;7348.36;61516.4;6.69;18349.19;96.5542;96.3003;25.66;39.64;36.278;0.23;0.4;16.605;0.02;0.02;1.1253;119.5;2760.24;7232.19;989.41;3.11;0.37546098823503515;3293.109738012852;0.3036643414754304;3354.5058595396677;0.2981064996968668;1.0;1.0;"training";"i-04544189819b35dee_2.0";"i-04544189819b35dee";2.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu";2663.3925529807884
5587.8;98.59;711.84;740.0;88.45;13241.0;70.24;398.0;281.0;314.0;842.945374;96948.33;2907.01;1913881.13;119.58;2821483.25;17356.63;7588.28;59.07;7128.12;60058.06;6.32;16701.24;96.1089;96.1107;25.65;39.57;36.281;0.26;0.46;14.956;0.02;0.02;1.1492;120.23;2725.38;7227.49;1016.15;3.13;0.3862656569290215;3225.8900266400265;0.30999196864797174;2587.20763179178;0.38651710350260776;1.0;1.0;"training";"i-04544189819b35dee_3.0";"i-04544189819b35dee";3.0;"rmit-combined_v4_aws-eu_m1.small";"m1.small";"eu";2588.8918211120063
5328.9;98.64;742.88;780.0;88.58;13329.0;68.81;382.0;912.0;930.0;51.820563;204445.33;6382.46;5082597.16;266.47;8320340.89;35726.56;15361.79;113.63;30515.66;117432.41;16.7;115565.68;5.8776;46.9406;7.76;15.5;118.17;0.34;0.58;11.595;0.02;0.02;2.0946;228.71;5793.99;3689.24;855.37;1.65;21.154983006899954;58.3239920227277;17.145602784019307;831.9023607686852;1.2020641449748877;8.0;20.0;"training";"i-0b79847edad1c1fd5_1.0";"i-0b79847edad1c1fd5";1.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu";47.27018687152044
5344.3;98.69;740.52;764.0;88.41;13386.0;68.44;374.0;907.0;881.0;49.430463;206475.98;6408.71;5090714.49;265.61;8339867.38;35968.56;15291.56;114.76;28270.3;120096.77;16.23;91913.45;5.8934;47.0275;7.75;17.58;118.29;0.38;1.18;10.34;0.02;0.03;2.167;229.09;5774.59;3676.57;826.74;1.65;40.98120367199052;28.781014582901374;34.74512676123982;1957.7912821758134;0.5107796776419592;8.0;20.0;"training";"i-0b79847edad1c1fd5_2.0";"i-0b79847edad1c1fd5";2.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu";24.401430665724234
5436.6;98.57;728.13;756.0;88.98;13406.0;68.47;374.0;915.0;862.0;49.08153;205646.44;6401.52;5092565.02;268.7;8373014.04;35937.35;15085.39;101.04;28250.04;121027.82;16.96;116048.59;5.8957;47.0051;7.75;17.48;118.28;0.46;2.02;8.4416;0.02;0.03;2.1738;228.46;5787.14;3728.22;835.87;1.67;42.00433017293146;27.026165629979953;37.00117929014342;1170.774302233684;0.8541355905165761;8.0;20.0;"training";"i-0b79847edad1c1fd5_3.0";"i-0b79847edad1c1fd5";3.0;"rmit-combined_v4_aws-eu_c1.xlarge";"c1.xlarge";"eu";23.807069316020723
5661.7;99.15;703.66;828.0;97.05;18029.0;54.16;306.0;671.0;676.0;162.319386;328999.83;10386.41;8214431.06;434.15;1.344788454E7;57802.22;24555.0;199.22;87124.6;335778.05;51.77;291597.11;16.86;29.2079;11.13;19.48;82.519;0.4;1.39;9.8353;0.01;0.01;1.9652;1507.97;9555.62;2209.86;74.39;0.26;2.407695250060472;575.1346999574407;1.7387231201212494;1894.1834616672247;0.5279319665898777;2.0;6.5;"test";"i-0611bc4f7fbc8637c_1.0";"i-0611bc4f7fbc8637c";1.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu";415.33495569046124
5668.9;99.06;702.85;828.0;97.36;18029.0;54.13;306.0;670.0;676.0;162.684605;331048.62;10423.51;8221922.6;434.65;1.344475284E7;57793.75;24586.33;208.82;80265.67;326331.02;47.75;261665.92;16.8586;29.2002;9.62;19.01;94.264;0.4;1.65;9.7967;0.01;0.01;2.1153;1502.41;9558.53;2205.35;74.49;0.26;2.3490050546555508;578.4650904099215;1.7287127893774257;1211.3429428143072;0.8255300498772915;2.0;6.5;"test";"i-0611bc4f7fbc8637c_2.0";"i-0611bc4f7fbc8637c";2.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu";425.7121533298004
5487.6;99.26;726.08;940.0;97.38;18029.0;54.18;306.0;671.0;676.0;162.373003;330487.38;10440.88;8217506.02;429.9;1.345652754E7;57838.16;24588.62;205.51;77819.5;328736.09;53.24;279406.22;16.8475;29.1992;11.13;19.46;82.532;0.49;2.21;7.9418;0.01;0.01;2.0823;1502.98;9556.08;2205.03;76.39;0.26;2.3759276401544125;575.2451603786915;1.738389244929391;730.0246720074306;1.3698167176325533;2.0;6.5;"test";"i-0611bc4f7fbc8637c_3.0";"i-0611bc4f7fbc8637c";3.0;"rmit-combined_v4_aws-eu_m3.large";"m3.large";"eu";420.888238808068
6761.8;99.21;589.59;652.0;97.46;18026.0;54.44;330.0;430.0;468.0;165.249822;301725.71;10091.88;7691761.22;442.39;1.454423788E7;57952.77;20963.66;200.06;116141.24;382458.56;73.63;394933.89;16.7385;29.5861;17.14;23.95;53.608;0.23;0.43;17.087;0.01;0.01;2.4467;1458.14;8749.43;2354.68;76.72;0.27;2.846559165129801;485.59436959837313;2.059331949888717;1984.5688490214352;0.503887784237411;2.0;6.5;"test";"i-059b6631eadaf4fab_1.0";"i-059b6631eadaf4fab";1.0;"rmit-combined_v4_aws-eu_m4.large";"m4.large";"eu";351.30132275132274
