source;instance.type;region;vcpus;ecu;costs.hourly;virtualization;position
rmit-combined_v3_aws-eu_m1.small;m1.small;eu;1;1;0.047;pv;1
rmit-combined_v3_aws-us_c4.large;c4.large;us;2;8;0.100;hvm;8
rmit-combined_v3_aws-us_c4.xlarge;c4.xlarge;us;4;16;0.199;hvm;10
rmit-combined_v3_aws-us_m1.small;m1.small;us;1;1;0.044;pv;1
rmit-combined_v3_aws-us_m3.large;m3.large;us;2;6.5;0.133;hvm;5
rmit-combined_v3_aws-us_m3.medium;m3.medium (hvm);us;1;3;0.067;hvm;3
rmit-combined_v3_aws-us_m4.large;m4.large;us;2;6.5;0.108;hvm;6
rmit-combined_v3_aws_c4.large;c4.large;eu;2;8;0.113;hvm;8
rmit-combined_v3_aws_c4.xlarge;c4.xlarge;eu;4;16;0.226;hvm;10
rmit-combined_v3_aws_m3.large;m3.large;eu;2;6.5;0.146;hvm;5
rmit-combined_v3_aws_m3.medium;m3.medium (hvm);eu;1;3;0.073;hvm;3
rmit-combined_v3_aws_m4.large;m4.large;eu;2;6.5;0.111;hvm;6
rmit-combined_v4_aws-eu_c4.large;c4.large;eu;2;8;0.113;hvm;8
rmit-combined_v4_aws-eu_c4.xlarge;c4.xlarge;eu;4;16;0.226;hvm;10
rmit-combined_v4_aws-eu_m1.small;m1.small;eu;1;1;0.047;pv;1
rmit-combined_v4_aws-eu_m3.large;m3.large;eu;2;6.5;0.146;hvm;5
rmit-combined_v4_aws-eu_m3.medium;m3.medium (hvm);eu;1;3;0.073;hvm;3
rmit-combined_v4_aws-eu_m4.large;m4.large;eu;2;6.5;0.111;hvm;6
rmit-combined_v4_aws-eu_c1.xlarge;c1.xlarge;eu;8;20;0.592;pv;11
rmit-combined_v4_aws-eu_m1.medium;m1.medium;eu;1;2;0.095;pv;2
rmit-combined_v4_aws-eu_c1.medium;c1.medium;eu;2;5;0.148;pv;0
rmit-combined_v4_aws-eu_m1.large;m1.large;eu;2;5;0.190;pv;4
rmit-combined_v4_aws-eu_c3.large;c3.large;eu;2;7;0.120;hvm;7
rmit-combined_v4_aws-eu_c3.xlarge;c3.xlarge;eu;4;14;0.239;hvm;9
rmit-combined_v4_aws-eu_m3.medium-pv;m3.medium (pv);eu;1;3;0.073;pv;3
